KEY_CODE,HYOSYO,CITYNAME,NAME,人口総数,男,女,世帯総数
122390200,2,大網白里市,上谷新田,756,379,377,337
122390210,2,大網白里市,北横川,176,87,89,62
122390220,2,大網白里市,南横川,3062,1518,1544,1245
122390230,2,大網白里市,富田,1925,944,981,796
122390240,2,大網白里市,北飯塚,951,445,506,391
122390250,2,大網白里市,南飯塚,1063,463,600,344
122390260,2,大網白里市,柿餅,618,302,316,209
122390270,2,大網白里市,木崎,1027,491,536,426
122390280,2,大網白里市,柳橋,1638,808,830,737
122390290,2,大網白里市,清名幸谷,719,360,359,277
122390300,2,大網白里市,四天木,2005,965,1040,800
122390310,2,大網白里市,細草,1285,647,638,561
122390320,2,大網白里市,北今泉,1692,825,867,619
122390330,2,大網白里市,南今泉,1709,843,866,682
122390340,2,大網白里市,桂山,227,112,115,108
122390350,2,大網白里市,長国,209,102,107,83
122390360,2,大網白里市,北吉田,152,75,77,66
122390370,2,大網白里市,九十根,193,90,103,69
122390380,2,大網白里市,下ケ傍示,437,218,219,213
122390390,2,大網白里市,清水,115,62,53,44
122390400,3,大網白里市,みずほ台,5185,2588,2597,2025
12239040001,4,大網白里市,みずほ台一丁目,2079,1031,1048,855
12239040002,4,大網白里市,みずほ台二丁目,1423,719,704,541
12239040003,4,大網白里市,みずほ台三丁目,1683,838,845,629
122390410,3,大網白里市,季美の森南,2979,1427,1552,1177
12239041001,4,大網白里市,季美の森南一丁目,515,248,267,206
12239041002,4,大網白里市,季美の森南二丁目,1187,564,623,496
12239041003,4,大網白里市,季美の森南三丁目,237,112,125,92
12239041004,4,大網白里市,季美の森南四丁目,506,252,254,197
12239041005,4,大網白里市,季美の森南五丁目,534,251,283,186
122390420,3,大網白里市,みどりが丘,5274,2625,2649,1808
12239042001,4,大網白里市,みどりが丘一丁目,1231,617,614,443
12239042002,4,大網白里市,みどりが丘二丁目,1359,681,678,481
12239042003,4,大網白里市,みどりが丘三丁目,1114,550,564,393
12239042004,4,大網白里市,みどりが丘四丁目,1570,777,793,491
12322,1,酒々井町,,20745,10155,10590,9375
123220010,2,酒々井町,下台,167,92,75,80
123220020,2,酒々井町,酒々井,1759,921,838,819
123220030,2,酒々井町,上本佐倉,654,338,316,288
123220040,2,酒々井町,本佐倉,1251,583,668,464
123220050,2,酒々井町,馬橋,579,300,279,272
123220060,2,酒々井町,墨,297,152,145,112
123220070,2,酒々井町,尾上,243,118,125,91
123220080,3,酒々井町,飯積,113,57,56,65
12322008000,4,酒々井町,飯積,113,57,56,65
12322008001,4,酒々井町,飯積一丁目,-,-,-,-
12322008002,4,酒々井町,飯積二丁目,-,-,-,-
123220090,2,酒々井町,中川,902,450,452,590
123220100,2,酒々井町,上岩橋,2132,1024,1108,945
